OBESITY_zip,LocationName,lat,lng
22.5,1775,42.43,-71.51
16.9,2163,42.369,-71.125
27.8,2568,41.41,-70.63
25.6,4071,43.9,-70.5
28.2,5640,44.35,-72.49
33.6,5777,43.6,-73
30.9,6249,41.6,-72.2
23.7,6510,41.308,-72.926
27.6,10537,41.34,-73.88
31.3,14216,42.95,-78.87
29.3,15020,40.238,-79.951
42.9,16121,41.2,-80.49
36.2,18441,41.67,-75.62
19.3,20006,38.9,-77.04
37.9,23310,37.3,-75.8
41.5,24054,36.7,-79.7
32.1,24421,38.3,-79.2
37.3,24657,37.22,-81.88
44.4,24857,37.688,-81.656
42.4,24867,37.6,-81.5
36,26238,39.1,-80.13
36.5,28320,34.6,-78.8
32.5,28746,35.46,-82.18
34,28752,35.7,-82
34.5,29324,34.99,-81.82
33.2,29511,34,-79.1
40.5,31021,32.5,-82.9
35.2,32179,29.1,-81.9
23.3,32612,29.64,-82.32
38.6,35135,33.62,-86.2
33.2,35773,34.9,-86.7
43.4,39108,33.1,-89.4
38.8,40442,37.35,-84.74
42.1,40914,37.1,-83.6
40.6,41847,37.21,-82.94
41,42749,37.2,-85.9
38,43754,39.8,-81.2
39.6,44606,40.74,-81.79
35.9,45808,40.83,-83.97
36.1,46723,41.2,-85.3
38,48415,43.3,-83.8
38.8,48429,42.9,-84
41,48834,43.1,-85.1
35.3,50117,41.7,-94.8
36.5,50620,43.158,-92.591
34.7,50638,42.4,-92.8
35.8,51240,43.3,-96.5
36.6,51565,41.64,-95.53
34.5,53222,43.09,-88.04
32.3,55076,44.83,-93.03
32.5,56028,44.23,-93.71
34.2,56484,47.1,-94.4
35.2,56515,46.3,-95.7
36.6,56551,46.3,-95.5
30.7,57036,43.3,-97.1
31.2,57562,43.9,-100.9
29.9,60191,41.97,-87.98
35.8,61318,41.7,-89.1
35.1,61349,41.6,-89.5
37.3,62439,38.8,-87.6
36,63073,38.5,-90.7
40.2,63876,36.14,-90.17
36.8,65281,39.5,-92.8
38.6,65282,39.4,-91.8
36.5,65287,38.88,-92.52
37.7,65326,38.2,-93.1
37.9,66407,39.2,-96.2
32.6,67056,38,-97.5
41.1,71029,32.85,-93.82
33.9,75752,32.2,-95.8
40,77457,28.65,-95.97
35,78116,29.1,-97.8
27.7,89147,36.11,-115.28
30.9,90805,33.86,-118.18
28.5,91934,32.64,-116.22
32,92504,33.91,-117.4
21.3,94528,37.837,-121.959
25.3,94572,38.03,-122.23
22.8,95765,38.83,-121.29
39.6,97761,44.7,-121.5
35.5,97913,43.8,-117.1
23.7,98014,47.6,-121.9
21.8,98116,47.58,-122.4
29.6,98335,47.29,-122.62
36,98576,46.9,-122.7
32.2,99553,54.1,-165.5
36.9,99829,58,-135.7
23.8,2646,41.67,-70.07
28.3,1128,42.1,-72.49
29.4,1937,42.58,-70.95
27,1034,42.1,-73
23.1,2633,41.6,-70
27.5,2828,41.88,-71.56
29.6,2919,41.83,-71.52
29.4,2825,41.79,-71.7
24.6,1053,42.35,-72.71
20.6,1003,42.39,-72.53
20.7,2144,42.4,-71.12
29,2815,41.78,-71.66
33.1,2780,41.91,-71.12
30.5,1534,42.14,-71.64
30.4,1566,42.1,-72.08
24.9,1826,42.69,-71.31
35.4,1550,42.07,-72.04
30,2715,41.82,-71.15
18.5,2109,42.363,-71.054
27.3,2346,41.9,-70.9
21.2,2478,42.4,-71.18
33.4,2895,42,-71.5
28.9,1129,42.12,-72.49
23,1880,42.5,-71.07
25,1259,42.08,-73.24
24.2,2563,41.72,-70.48
24.3,1923,42.58,-70.96
29.1,1536,42.23,-71.69
23,1075,42.26,-72.58
26.8,1089,42.12,-72.64
29.3,2771,41.84,-71.32
32.1,1540,42.12,-71.85
27.4,1560,42.18,-71.68
25.2,1062,42.33,-72.69
16.6,2111,42.351,-71.061
25.6,1253,42.2,-73.1
21.6,1810,42.65,-71.17
23.6,2841,41.51,-71.32
23.8,2675,41.71,-70.23
23.3,2019,42.08,-71.47
24.6,1238,42.3,-73.22
21.1,2493,42.36,-71.3
30.2,2777,41.76,-71.23
30.4,1602,42.27,-71.85
29.5,2538,41.78,-70.65
32.8,1368,42.67,-72.19
27.8,2149,42.41,-71.05
23.7,1432,42.56,-71.57
29.7,2764,41.85,-71.16
25.7,1085,42.2,-72.8
28.7,2807,41.19,-71.58
32.6,1083,42.22,-72.18
25.8,1434,42.54,-71.61
26.9,1229,42.3,-73.33
24.8,1969,42.72,-70.89
34.6,2724,41.69,-71.18
26.3,2045,42.31,-70.89
32,1040,42.22,-72.64
30.8,2816,41.69,-71.63
31,3031,42.87,-71.61
25.8,2822,41.6,-71.7
27.5,2747,41.7,-71
23.8,1966,42.66,-70.61
29.4,2910,41.78,-71.43
28.3,1467,42.4921,-71.6178
30.1,2889,41.7,-71.39
22.9,1851,42.62,-71.34
27.8,2903,41.82,-71.41
20.3,2492,42.28,-71.25
23.3,1460,42.54,-71.49
25.1,1375,42.47,-72.55
26.3,1098,42.4,-72.95
18.1,2210,42.35,-71.04
30.4,2702,41.78,-71.06
17.6,2135,42.35,-71.15
22.9,2540,41.57,-70.63
29.1,1093,42.46,-72.62
26.3,2894,41.45,-71.69
23.5,2638,41.73,-70.2
26.3,2836,41.45,-71.62
28.3,1118,42.1,-72.52
22.6,1748,42.23,-71.53
31.4,1537,42.17,-71.89
21.3,2543,41.53,-70.67
22.5,2026,42.25,-71.18
27.7,1373,42.47,-72.61
28.9,1080,42.18,-72.37
25.5,2672,41.638,-70.327
23.7,1827,42.67,-71.5
18.7,2138,42.38,-71.13
27.3,1612,42.32,-71.93
33.5,1901,42.462,-70.946
33.9,2905,41.79,-71.4
27.3,1521,42.06,-72.17
25.4,2128,42.37,-71.02
24.5,2562,41.79,-70.53
26.6,2812,41.47,-71.67
28.2,2048,42.02,-71.22
30.8,1542,42.2,-71.91
29.7,3034,43.07,-71.31
30,1756,42.1,-71.54
27.7,2833,41.5,-71.78
20.7,2650,41.7,-69.97
29.8,2911,41.85,-71.47
39.7,2863,41.89,-71.39
32.9,1420,42.59,-71.81
32.8,1604,42.25,-71.76
30,1571,42.06,-71.94
24.4,2534,41.67,-70.61
27.5,1082,42.3,-72.3
26,2535,41.3,-70.7
21.7,1803,42.51,-71.2
25.3,2536,41.6,-70.56
25.1,1913,42.85,-70.95
26.7,2891,41.36,-71.8
26,2364,41.98,-70.75
26.2,1022,42.2,-72.56
28.6,1520,42.34,-71.86
21.7,2032,42.15,-71.22
32.9,2119,42.32,-71.08
24.9,1244,42.2,-73.3
26.3,1077,42.05,-72.77
21.4,2460,42.35,-71.21
29,1505,42.35,-71.72
24.4,1007,42.3,-72.4
21.5,2465,42.35,-71.23
28.5,1740,42.44,-71.6
31,1611,42.25,-71.88
25.8,1255,42.11,-73.12
22.1,2453,42.37,-71.23
22.7,2630,41.7,-70.3
24.8,1097,42.17,-72.85
26.3,1070,42.52,-72.93
24.9,2122,42.29,-71.05
19.9,2127,42.33,-71.04
18,2199,42.347,-71.083
25.6,1220,42.63,-73.13
26.1,1222,42.06,-73.32
24,1862,42.57,-71.29
26,1262,42.29,-73.31
30,2858,41.96,-71.64
29.4,2571,41.8,-70.7
24.4,2072,42.12,-71.1
20.1,2881,41.48,-71.53
25.7,2738,41.72,-70.76
29.3,1338,42.58,-72.8
22.7,2062,42.18,-71.2
25.2,2652,42.02,-70.09
24.7,1038,42.39,-72.61
29.9,1376,42.59,-72.54
30.9,1569,42.06,-71.64
31,1462,42.59,-71.72
25.4,2806,41.74,-71.32
22.9,2093,42.05,-71.37
22.7,2762,42.02,-71.33
18.8,2142,42.36,-71.08
26,1223,42.3,-73.1
27.6,2136,42.25,-71.13
31.1,1005,42.42,-72.12
20.2,1984,42.6,-70.87
19.7,2459,42.31,-71.19
29.8,1543,42.38,-71.97
36,2909,41.82,-71.45
28.8,2864,41.96,-71.43
29.3,1119,42.12,-72.51
27.3,1081,42.06,-72.23
24.6,1860,42.84,-71.01
25,2564,41.262,-69.965
30.5,1507,42.13,-71.97
38.6,1107,42.12,-72.6
29.4,1522,42.39,-71.87
20.9,1890,42.45,-71.15
28.8,2769,41.84,-71.24
22.1,1867,42.53,-71.1
38.1,2907,41.8,-71.43
21.9,1719,42.49,-71.52
22.8,2176,42.46,-71.06
28.8,2865,41.92,-71.44
26.3,1835,42.75,-71.09
32.2,1570,42.06,-71.85
24.9,1088,42.39,-72.65
31.7,1606,42.31,-71.8
24.4,1245,42.19,-73.23
24.3,2553,41.72,-70.613
29.7,2717,41.75,-70.97
28.3,1905,42.47,-70.97
32.5,2745,41.7,-70.94
26.3,1844,42.73,-71.19
27.7,2837,41.51,-71.16
35.2,1109,42.12,-72.55
30.3,1527,42.19,-71.78
24.8,2666,42.02,-70.08
31.7,1438,42.54,-72.07
23.1,2190,42.17,-70.95
29,2916,41.84,-71.36
32.5,1531,42.32,-72.13
23.2,1940,42.54,-71.03
21.9,1886,42.59,-71.44
24.3,2061,42.15,-70.82
28.9,1351,42.55,-72.51
30.6,2859,41.97,-71.74
26.2,2347,41.84,-70.97
27.2,1830,42.8,-71.06
29.1,2896,41.97,-71.54
30.8,1379,42.55,-72.41
24.6,1095,42.13,-72.43
29.4,1340,42.7,-72.7
22.6,1106,42.05,-72.57
33.8,3043,42.99,-71.82
20.4,2129,42.38,-71.06
26.8,1201,42.5,-73.3
19.3,2445,42.32,-71.13
20.8,1720,42.49,-71.44
30.5,2703,41.94,-71.29
27.1,2367,41.97,-70.81
25.4,1029,42.2,-73.09
30.5,1364,42.6,-72.3
20.9,2458,42.35,-71.19
21.8,1742,42.46,-71.36
30.7,2830,41.97,-71.65
25.1,1066,42.39,-72.61
29.3,2763,41.96,-71.31
17.3,2134,42.36,-71.13
26.2,2770,41.75,-70.85
36.5,2746,41.67,-70.94
27.6,1020,42.18,-72.56
32.1,1475,42.66,-72.05
30.5,1378,42.67,-72.34
20.8,2482,42.29,-71.3
22.1,2052,42.18,-71.31
21.7,2025,42.23,-70.82
24.5,2664,41.66,-70.19
26.8,2370,42.13,-70.91
15.5,2215,42.34,-71.1
26,2351,42.12,-70.96
30.3,2827,41.69,-71.73
25,2739,41.66,-70.81
26.2,1581,42.27,-71.61
26.7,2835,41.51,-71.37
32.7,2301,42.08,-71.04
22,1731,42.46,-71.28
24.1,2131,42.28,-71.12
27.1,1341,42.51,-72.7
22.7,2653,41.7,-70
20.9,1267,42.6,-73.3
22.6,1863,42.63,-71.39
25.8,2575,41.4,-70.64
30.3,2915,41.78,-71.36
22.2,2120,42.33,-71.1
24.7,2071,42.1,-71.27
25.8,1225,42.56,-73.15
25.7,1970,42.52,-70.91
25.7,2657,42.05,-70.18
28,1072,42.46,-72.42
28.8,2878,41.61,-71.17
26.8,1050,42.3,-72.9
23.1,2180,42.47,-71.1
20.8,2090,42.22,-71.2
38.8,1608,42.26,-71.8
23.3,2188,42.21,-70.96
27.1,1054,42.47,-72.49
28.2,1256,42.6,-73.02
26.1,2050,42.1,-70.7
25.3,2874,41.52,-71.47
33.3,1440,42.59,-71.99
23.1,1907,42.48,-70.91
22.5,2140,42.39,-71.13
24.6,1343,42.67,-72.99
29.7,3038,42.89,-71.28
28.7,1354,42.64,-72.51
26.1,2644,41.7,-70.52
26.7,1011,42.3,-73
19.9,2171,42.29,-71.01
29.9,1843,42.69,-71.16
32,2908,41.84,-71.44
28.2,1772,42.3,-71.54
23.8,2882,41.43,-71.47
26.7,1852,42.63,-71.3
24.9,1922,42.76,-70.92
23.6,2118,42.34,-71.07
26.2,2639,41.67,-70.14
19.7,2466,42.35,-71.25
29.4,2726,41.76,-71.15
37.2,1103,42.103,-72.591
20.9,2067,42.11,-71.19
29.9,2760,41.97,-71.32
25.5,2322,42.13,-71.05
28,1347,42.57,-72.48
23.7,2632,41.66,-70.35
32.4,1506,42.2,-72.1
29.6,1074,42.42,-72.11
24.1,1950,42.81,-70.87
24.8,2066,42.21,-70.77
21.2,2143,42.38,-71.1
21.5,2141,42.37,-71.08
21.2,2452,42.39,-71.22
32.4,1366,42.5,-72.2
22.6,1701,42.32,-71.43
26.8,1247,42.7,-73.1
25.6,2339,42.12,-70.85
24.9,1237,42.56,-73.23
30.9,1609,42.28,-71.83
24.6,2649,41.61,-70.49
25.6,1030,42.07,-72.68
25,1230,42.2,-73.3
24.5,1226,42.48,-73.15
30.6,2719,41.63,-70.87
27.2,2150,42.4,-71.03
24.2,1876,42.61,-71.23
23.6,2642,41.84,-69.98
26.3,2368,42.17,-71.06
27.6,2873,41.5,-71.73
25.4,1952,42.85,-70.86
20.3,2461,42.31,-71.21
26.6,1057,42.1,-72.33
24.9,1028,42.06,-72.5
19.4,2421,42.44,-71.23
26.8,1904,42.49,-70.97
25.6,1236,42.28,-73.37
30.5,1524,42.24,-71.92
34.6,1603,42.25,-71.84
28,1342,42.54,-72.62
35.7,1605,42.29,-71.8
18.5,2115,42.34,-71.1
30.7,1590,42.14,-71.76
30,1747,42.13,-71.54
27.4,1010,42.15,-72.2
27.3,2804,41.43,-71.76
27.3,2539,41.39,-70.53
25.7,1702,42.28,-71.44
31.5,1585,42.23,-72.18
18.9,2446,42.34,-71.12
18.1,2912,41.826,-71.4
26.1,2359,42.06,-70.8
29.6,2779,41.83,-71.06
29.3,1564,42.44,-71.78
26.8,1056,42.19,-72.46
25.2,2125,42.32,-71
25.8,1001,42.07,-72.63
29.2,2831,41.75,-71.59
23,2669,41.682,-69.991
31.4,1757,42.15,-71.52
25,2673,41.65,-70.24
24.6,1938,42.7,-70.8
28,2921,41.76,-71.52
32.9,2126,42.28,-71.09
18,2108,42.358,-71.064
26.1,2809,41.68,-71.27
21.8,1741,42.53,-71.35
30.3,1588,42.13,-71.66
25,1474,42.67,-71.75
32.5,1562,42.25,-71.99
26.3,2324,41.97,-70.98
29.6,2888,41.75,-71.41
20.9,2110,42.359,-71.054
23,1921,42.68,-71.03
25.5,1039,42.37,-72.7
25.1,1960,42.53,-70.97
26,2898,41.52,-71.67
27.3,2832,41.5,-71.73
24.1,2151,42.42,-71
23.6,2191,42.25,-70.94
31.4,1031,42.34,-72.17
30.5,1518,42.11,-72.11
22.8,1721,42.26,-71.47
29.5,2790,41.6,-71.1
25.8,2917,41.9,-71.53
23.2,1035,42.36,-72.59
26.6,2713,41.5,-70.8
24.2,1949,42.6,-71.01
24.9,1096,42.4,-72.8
23.9,1985,42.79,-70.97
24.8,1951,42.76,-70.85
22.9,2035,42.06,-71.23
24.9,2148,42.43,-71.05
20.2,2464,42.313,-71.22
38.9,1105,42.1,-72.58
11.6,2457,42.31,-71.27
29.3,3037,43.15,-71.25
28.3,3032,42.99,-71.35
20.7,2468,42.33,-71.23
30.5,1516,42.05,-71.75
28.5,2842,41.52,-71.28
26.8,2808,41.41,-71.74
28.6,2766,41.96,-71.18
25.9,1084,42.37,-72.87
27.5,2330,41.9,-70.8
33.9,2723,41.69,-71.13
35.3,2744,41.61,-70.92
24.5,1834,42.75,-71.01
